7	8	21.22
7	9	25.46
7	10	24.21
7	11	26.19
7	12	29.30
7	13	29.49
7	14	30.29
7	15	31.35
7	16	32.45
7	17	33.12
7	18	33.62
7	19	35.35

8	0	-1.98
8	1	3.82
8	2	5.13
8	3	5.39
8	4	12.11
8	5	17.61
8	6	18.61
8	7	22.04
8	8	23.90
8	9	28.23
8	10	27.57
8	11	28.60
8	12	31.84
8	13	32.04
8	14	32.56
8	15	33.72
8	16	34.59
8	17	35.25
8	18	35.75
8	19	37.28

9	0	1.00
9	1	2.45
9	2	7.42
9	3	10.30
9	4	17.04
9	5	20.24
9	6	22.99
9	7	24.18
9	8	26.98
9	9	30.58
9	10	29.93
9	11	31.20
9	12	33.82
9	13	34.11
9	14	34.53
9	15	35.69
9	16	36.43
9	17	37.02
9	18	37.14
9	19	38.66

10	0	1.15
10	1	6.44
10	2	8.77
10	3	15.09
10	4	18.74
10	5	23.69
10	6	24.56
10	7	27.13
10	8	28.91
10	9	32.68
10	10	31.79
10	11	33.39
10	12	35.56
10	13	36.13
10	14	36.01
10	15	37.27
10	16	37.59
10	17	38.28
10	18	38.41
10	19	39.80

11	0	3.48
11	1	6.46
11	2	11.51
11	3	17.36
11	4	21.49
11	5	25.36
11	6	27.31
11	7	28.87
11	8	31.14
11	9	34.41
11	10	33.59
11	11	34.73
11	12	37.08
11	13	36.98
11	14	37.38
11	15	38.22
11	16	38.76
11	17	39.28
11	18	39.53
11	19	40.84

12	0	1.09
12	1	7.04
12	2	15.51
12	3	18.90
12	4	24.71
12	5	27.12
12	6	29.13
12	7	30.79
12	8	32.49
12	9	36.17
12	10	34.90
12	11	35.95
12	12	38.30
12	13	38.14
12	14	38.54
12	15	39.25
12	16	39.79
12	17	40.09
12	18	40.51
12	19	41.64

13	0	-2.85
13	1	10.62
13	2	18.04
13	3	21.70
13	4	26.02
13	5	29.44
13	6	30.57
13	7	32.22
13	8	34.21
13	9	37.44
13	10	36.16
13	11	37.22
13	12	39.00
13	13	39.28
13	14	39.31
13	15	40.06
13	16	40.63
13	17	40.93
13	18	41.36
13	19	42.41

14	0	4.20
14	1	14.40
14	2	20.79
14	3	23.92
14	4	27.41
14	5	30.76
14	6	32.04
14	7	33.64
14	8	34.91
14	9	38.48
14	10	37.07
14	11	37.93
14	12	40.04
14	13	40.07
14	14	40.19
14	15	40.83
14	16	41.46
14	17	41.52
14	18	42.02
